"",-25.000,-24.500,-24.000,-23.500,-23.000,-22.500,-22.000,-21.500,-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
0.0000,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002,1.5000E-002
1.0000,1.8375E-002,1.8229E-002,1.8154E-002,1.8233E-002,1.8198E-002,1.8048E-002,1.7983E-002,1.7944E-002,1.7921E-002,1.7898E-002,1.7879E-002,1.7853E-002,1.7828E-002,1.7803E-002,1.7778E-002,1.7748E-002,1.7718E-002,1.7696E-002,1.7676E-002,1.7662E-002,1.7650E-002,1.7634E-002,1.7621E-002,1.7619E-002,1.7618E-002,1.7610E-002,1.7604E-002,1.7604E-002,1.7604E-002,1.7604E-002,1.7601E-002,1.7593E-002,1.7585E-002,1.7580E-002,1.7577E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7576E-002,1.7575E-002,1.7520E-002,1.7439E-002,1.7388E-002,1.7338E-002
2.0000,2.3867E-002,2.3523E-002,2.3350E-002,2.3533E-002,2.3429E-002,2.3045E-002,2.2863E-002,2.2755E-002,2.2689E-002,2.2624E-002,2.2570E-002,2.2500E-002,2.2432E-002,2.2363E-002,2.2297E-002,2.2214E-002,2.2134E-002,2.2075E-002,2.2023E-002,2.1987E-002,2.1954E-002,2.1914E-002,2.1879E-002,2.1876E-002,2.1875E-002,2.1854E-002,2.1840E-002,2.1839E-002,2.1839E-002,2.1839E-002,2.1833E-002,2.1813E-002,2.1794E-002,2.1788E-002,2.1789E-002,2.1790E-002,2.1792E-002,2.1794E-002,2.1797E-002,2.1799E-002,2.1802E-002,2.1805E-002,2.1807E-002,2.1808E-002,2.1809E-002,2.1810E-002,2.1803E-002,2.1705E-002,2.1504E-002,2.1298E-002,2.1106E-002
3.0000,2.9876E-002,2.9397E-002,2.9157E-002,2.9399E-002,2.9224E-002,2.8647E-002,2.8350E-002,2.8175E-002,2.8065E-002,2.7960E-002,2.7869E-002,2.7756E-002,2.7648E-002,2.7536E-002,2.7427E-002,2.7294E-002,2.7165E-002,2.7070E-002,2.6988E-002,2.6929E-002,2.6877E-002,2.6814E-002,2.6760E-002,2.6755E-002,2.6754E-002,2.6723E-002,2.6702E-002,2.6704E-002,2.6705E-002,2.6704E-002,2.6701E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6700E-002,2.6699E-002,2.6697E-002,2.6692E-002,2.6682E-002,2.6665E-002,2.6581E-002,2.6232E-002,2.5683E-002
4.0000,3.5738E-002,3.5189E-002,3.4915E-002,3.5175E-002,3.4937E-002,3.4227E-002,3.3837E-002,3.3605E-002,3.3457E-002,3.3318E-002,3.3196E-002,3.3048E-002,3.2905E-002,3.2759E-002,3.2614E-002,3.2440E-002,3.2271E-002,3.2146E-002,3.2039E-002,3.1962E-002,3.1894E-002,3.1812E-002,3.1743E-002,3.1737E-002,3.1752E-002,3.1766E-002,3.1782E-002,3.1784E-002,3.1785E-002,3.1786E-002,3.1787E-002,3.1787E-002,3.1788E-002,3.1788E-002,3.1788E-002,3.1788E-002,3.1789E-002,3.1789E-002,3.1789E-002,3.1790E-002,3.1790E-002,3.1790E-002,3.1791E-002,3.1795E-002,3.1796E-002,3.1792E-002,3.1784E-002,3.1769E-002,3.1677E-002,3.1334E-002,3.0813E-002
5.0000,4.1153E-002,4.0588E-002,4.0306E-002,4.0554E-002,4.0267E-002,3.9478E-002,3.9020E-002,3.8744E-002,3.8566E-002,3.8401E-002,3.8255E-002,3.8082E-002,3.7913E-002,3.7740E-002,3.7569E-002,3.7364E-002,3.7166E-002,3.7019E-002,3.6894E-002,3.6804E-002,3.6723E-002,3.6628E-002,3.6563E-002,3.6656E-002,3.6763E-002,3.6769E-002,3.6772E-002,3.6773E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6774E-002,3.6772E-002,3.6680E-002,3.6258E-002,3.5595E-002
6.0000,4.6001E-002,4.5455E-002,4.5182E-002,4.5401E-002,4.5078E-002,4.4255E-002,4.3753E-002,4.3447E-002,4.3246E-002,4.3063E-002,4.2899E-002,4.2709E-002,4.2524E-002,4.2333E-002,4.2143E-002,4.1919E-002,4.1703E-002,4.1541E-002,4.1405E-002,4.1306E-002,4.1218E-002,4.1118E-002,4.1076E-002,4.1263E-002,4.1460E-002,4.1491E-002,4.1504E-002,4.1510E-002,4.1513E-002,4.1513E-002,4.1514E-002,4.1515E-002,4.1516E-002,4.1516E-002,4.1517E-002,4.1517E-002,4.1517E-002,4.1518E-002,4.1518E-002,4.1519E-002,4.1520E-002,4.1521E-002,4.1523E-002,4.1525E-002,4.1528E-002,4.1532E-002,4.1536E-002,4.1531E-002,4.1235E-002,4.0720E-002,4.0269E-002
7.0000,5.0250E-002,4.9742E-002,4.9488E-002,4.9670E-002,4.9326E-002,4.8502E-002,4.7976E-002,4.7651E-002,4.7436E-002,4.7240E-002,4.7065E-002,4.6867E-002,4.6672E-002,4.6472E-002,4.6271E-002,4.6037E-002,4.5812E-002,4.5642E-002,4.5501E-002,4.5399E-002,4.5309E-002,4.5256E-002,4.5521E-002,4.5804E-002,4.5816E-002,4.5819E-002,4.5821E-002,4.5822E-002,4.5823E-002,4.5824E-002,4.5824E-002,4.5825E-002,4.5825E-002,4.5826E-002,4.5827E-002,4.5828E-002,4.5829E-002,4.5830E-002,4.5830E-002,4.5831E-002,4.5831E-002,4.5831E-002,4.5831E-002,4.5830E-002,4.5829E-002,4.5828E-002,4.5826E-002,4.5825E-002,4.5730E-002,4.5290E-002,4.4597E-002
8.0000,5.3913E-002,5.3453E-002,5.3223E-002,5.3367E-002,5.3012E-002,5.2210E-002,5.1677E-002,5.1344E-002,5.1120E-002,5.0919E-002,5.0738E-002,5.0537E-002,5.0340E-002,5.0137E-002,4.9933E-002,4.9696E-002,4.9470E-002,4.9299E-002,4.9158E-002,4.9056E-002,4.8973E-002,4.9164E-002,4.9532E-002,4.9687E-002,4.9708E-002,4.9717E-002,4.9722E-002,4.9726E-002,4.9728E-002,4.9730E-002,4.9731E-002,4.9732E-002,4.9733E-002,4.9734E-002,4.9734E-002,4.9734E-002,4.9734E-002,4.9734E-002,4.9734E-002,4.9733E-002,4.9733E-002,4.9732E-002,4.9731E-002,4.9729E-002,4.9728E-002,4.9725E-002,4.9719E-002,4.9706E-002,4.9661E-002,4.9221E-002,4.8413E-002
