"",-25.000,-24.500,-24.000,-23.500,-23.000,-22.500,-22.000,-21.500,-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
0.0000,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001,4.6000E+001
1.0000,4.7123E+001,4.7124E+001,4.7124E+001,4.7124E+001,4.7124E+001,4.7125E+001,4.7126E+001,4.7126E+001,4.7126E+001,4.7126E+001,4.7125E+001,4.7122E+001,4.7118E+001,4.7114E+001,4.7109E+001,4.7103E+001,4.7097E+001,4.7090E+001,4.7085E+001,4.7080E+001,4.7076E+001,4.7072E+001,4.7068E+001,4.7066E+001,4.7063E+001,4.7061E+001,4.7060E+001,4.7060E+001,4.7060E+001,4.7060E+001,4.7059E+001,4.7058E+001,4.7056E+001,4.7054E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7053E+001,4.7044E+001,4.7034E+001,4.7027E+001,4.7015E+001
2.0000,4.8222E+001,4.8227E+001,4.8229E+001,4.8227E+001,4.8228E+001,4.8233E+001,4.8235E+001,4.8236E+001,4.8237E+001,4.8237E+001,4.8235E+001,4.8230E+001,4.8222E+001,4.8213E+001,4.8204E+001,4.8193E+001,4.8181E+001,4.8169E+001,4.8157E+001,4.8148E+001,4.8140E+001,4.8132E+001,4.8125E+001,4.8120E+001,4.8115E+001,4.8112E+001,4.8109E+001,4.8108E+001,4.8108E+001,4.8108E+001,4.8107E+001,4.8104E+001,4.8101E+001,4.8100E+001,4.8100E+001,4.8100E+001,4.8101E+001,4.8101E+001,4.8101E+001,4.8101E+001,4.8101E+001,4.8101E+001,4.8101E+001,4.8101E+001,4.8101E+001,4.8101E+001,4.8100E+001,4.8095E+001,4.8089E+001,4.8066E+001,4.8026E+001
3.0000,4.9298E+001,4.9309E+001,4.9314E+001,4.9308E+001,4.9312E+001,4.9323E+001,4.9329E+001,4.9331E+001,4.9333E+001,4.9334E+001,4.9332E+001,4.9324E+001,4.9312E+001,4.9300E+001,4.9287E+001,4.9271E+001,4.9253E+001,4.9235E+001,4.9219E+001,4.9205E+001,4.9193E+001,4.9181E+001,4.9171E+001,4.9163E+001,4.9156E+001,4.9151E+001,4.9147E+001,4.9144E+001,4.9142E+001,4.9142E+001,4.9142E+001,4.9142E+001,4.9142E+001,4.9142E+001,4.9142E+001,4.9141E+001,4.9141E+001,4.9141E+001,4.9141E+001,4.9141E+001,4.9141E+001,4.9141E+001,4.9140E+001,4.9140E+001,4.9140E+001,4.9140E+001,4.9139E+001,4.9139E+001,4.9135E+001,4.9104E+001,4.9052E+001
4.0000,5.0349E+001,5.0368E+001,5.0378E+001,5.0369E+001,5.0375E+001,5.0396E+001,5.0406E+001,5.0412E+001,5.0415E+001,5.0417E+001,5.0414E+001,5.0404E+001,5.0390E+001,5.0374E+001,5.0357E+001,5.0336E+001,5.0314E+001,5.0290E+001,5.0269E+001,5.0250E+001,5.0234E+001,5.0219E+001,5.0206E+001,5.0194E+001,5.0182E+001,5.0175E+001,5.0174E+001,5.0174E+001,5.0174E+001,5.0174E+001,5.0174E+001,5.0174E+001,5.0174E+001,5.0174E+001,5.0174E+001,5.0174E+001,5.0173E+001,5.0173E+001,5.0173E+001,5.0172E+001,5.0172E+001,5.0172E+001,5.0172E+001,5.0172E+001,5.0172E+001,5.0172E+001,5.0171E+001,5.0170E+001,5.0161E+001,5.0122E+001,5.0063E+001
5.0000,5.1375E+001,5.1406E+001,5.1421E+001,5.1407E+001,5.1418E+001,5.1452E+001,5.1468E+001,5.1477E+001,5.1482E+001,5.1485E+001,5.1482E+001,5.1471E+001,5.1454E+001,5.1436E+001,5.1415E+001,5.1390E+001,5.1362E+001,5.1334E+001,5.1307E+001,5.1285E+001,5.1265E+001,5.1246E+001,5.1230E+001,5.1211E+001,5.1199E+001,5.1196E+001,5.1196E+001,5.1196E+001,5.1195E+001,5.1195E+001,5.1195E+001,5.1195E+001,5.1195E+001,5.1196E+001,5.1196E+001,5.1196E+001,5.1196E+001,5.1195E+001,5.1195E+001,5.1195E+001,5.1195E+001,5.1195E+001,5.1195E+001,5.1195E+001,5.1194E+001,5.1194E+001,5.1193E+001,5.1192E+001,5.1191E+001,5.1141E+001,5.1043E+001
6.0000,5.2374E+001,5.2419E+001,5.2441E+001,5.2422E+001,5.2440E+001,5.2490E+001,5.2514E+001,5.2528E+001,5.2535E+001,5.2540E+001,5.2537E+001,5.2525E+001,5.2506E+001,5.2484E+001,5.2460E+001,5.2431E+001,5.2399E+001,5.2366E+001,5.2335E+001,5.2308E+001,5.2284E+001,5.2261E+001,5.2231E+001,5.2212E+001,5.2211E+001,5.2210E+001,5.2210E+001,5.2210E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2209E+001,5.2208E+001,5.2208E+001,5.2144E+001,5.2018E+001
7.0000,5.3346E+001,5.3407E+001,5.3438E+001,5.3414E+001,5.3440E+001,5.3511E+001,5.3545E+001,5.3563E+001,5.3574E+001,5.3581E+001,5.3578E+001,5.3565E+001,5.3544E+001,5.3521E+001,5.3493E+001,5.3461E+001,5.3425E+001,5.3387E+001,5.3351E+001,5.3320E+001,5.3293E+001,5.3263E+001,5.3232E+001,5.3215E+001,5.3214E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3213E+001,5.3210E+001,5.3132E+001,5.2982E+001
8.0000,5.4287E+001,5.4369E+001,5.4410E+001,5.4381E+001,5.4418E+001,5.4513E+001,5.4559E+001,5.4584E+001,5.4598E+001,5.4608E+001,5.4606E+001,5.4593E+001,5.4570E+001,5.4544E+001,5.4514E+001,5.4478E+001,5.4439E+001,5.4396E+001,5.4357E+001,5.4322E+001,5.4290E+001,5.4245E+001,5.4213E+001,5.4210E+001,5.4209E+001,5.4209E+001,5.4208E+001,5.4208E+001,5.4208E+001,5.4208E+001,5.4208E+001,5.4208E+001,5.4208E+001,5.4208E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4207E+001,5.4205E+001,5.4115E+001,5.3939E+001
