time,temp,OXY_oxy,NIT_nit,NIT_amm,PHS_frp,SIL_rsi,OGM_doc,PHY_TCHLA,NRMSE
2023-09-15 16:22:21,-15590.8949648414,-50213118.3959622,-4684907.64378974,-475173.526479661,-12630.558959333,-402449.051653489,-3623480.04149572,-203327.913302805,2.42980014550201
2023-09-15 16:19:13,-35044.6068474464,-36544902.1302663,-1381644.16846808,-489303.588192567,-8486.6282419151,-457002.43132316,-40226917.1386909,-48629.1453969832,2.03150421242376
2023-09-15 16:16:08,-128579.252799758,-151243467.058366,-555295.62981587,-486076.364659582,-9920.42651052149,-427521.156963187,-41473021.6430336,-35672.2927246413,2.17840928213088
2023-09-15 16:13:27,-105031.303179649,-37134631.977536,-230304.139086534,-482077.746222409,-10429.1083964978,-422784.115554549,-34454234.6584187,-297587.529866879,2.16368872135658
2023-09-15 16:10:34,-63328.5470381501,-51704645.304553,-96426.9782590208,-471439.639247459,-13712.1698350915,-415603.597339416,-46474093.6366101,-201593.973931822,2.03742811750816
2023-09-15 16:07:09,-104137.300279635,-44471642.0430726,-565433.157246757,-484056.154640548,-10818.6417015608,-413281.613306306,-38534317.8569706,-200791.188676622,2.21787163954551
2023-09-15 16:03:56,-69330.1594650422,-21058135816265,-2335949612229.78,-2351198452053.58,-11002.7454370228,-2327346402169.43,-2494851884721.79,-1480269464105.25,3214.86757915908
2023-09-15 16:01:01,-40820.973053879,-82207268.2418288,-1104904.02427291,-479518.780418472,-13683.109213431,-418790.679336053,-4713180.1306672,-314621.747449636,2.22596270244351
2023-09-15 15:57:45,-102328.472397696,-30311592.5967513,-346786.068425804,-485773.283883127,-8373.68691672569,-577395.521038496,-44653117.2706551,-87095.9036378765,1.99177325161031
2023-09-15 15:54:43,-151547.414796828,-359705112.583292,-2231762.2952444,-482502.398151034,-14529.2374890263,-947612.418557185,-17050686.5272527,-3928083.27842744,4.68414274061547
2023-09-15 15:51:49,-36359.4737074131,-81299073.8189117,-98496.2024632768,-487288.16041562,-13408.0536465588,-512921.558107625,-8650183.31243257,-181175.379124523,1.81775594958624
2023-09-15 15:48:36,-42085.0946628763,-38330461.2971443,-68655.7397784367,-488654.985379599,-10699.5008546537,-425583.549087704,-19328629.8238138,-66730.4220287623,1.57997505580714
2023-09-15 15:45:31,-32581.432804991,-39664156.0720992,-1167268.40471624,-481656.487245155,-11258.3455431199,-420708.173569255,-9149886.25951124,-52434.3052934425,1.80525122475968
2023-09-15 15:42:15,-102820.038565821,-32317429.8511502,-73696.9660181934,-487325.83866757,-10978.9826582216,-464916.599812978,-33924543.7490495,-372096.187196894,2.13649988058564
2023-09-15 15:38:51,-63890.4395693469,-96139165.6629672,-110533.726947166,-473367.506978138,-14453.2095486495,-462401.233029903,-3739737.42728697,-606803.525700023,2.2136088337765
2023-09-15 15:35:37,-35192.7423115924,-164303198.054811,-6235678.45576601,-485249.464488443,-11716.4938993365,-421160.501598739,-25737630.1934539,-354067.467808915,3.18436026716803
